"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Significant"
"Ppat",2567.43528003123,0.300500822961325,0.226553155931621,1.32640316452719,0.184706191161144,0.936694651680021,"No"
"Ifnar2",617.04468993301,0.300816422603813,0.224126617172677,1.34217178842284,0.179540301514558,0.929987939476049,"No"
"Nop56",8443.40086200883,0.30109350834254,0.154931606558637,1.94339628324054,0.0519682960053469,0.742415285572582,"No"
"Lcor",887.660595739982,0.301120282856521,0.260905168314117,1.15413690270017,0.248444046128763,0.969360940991421,"No"
"Ccdc32",289.204363756143,0.301148915316923,0.240917611013909,1.25000789294535,0.211296664069436,0.956554197844325,"No"
"Lyset",353.269100955332,0.301198804873064,0.492141600824715,0.612016550456869,0.540526807499068,0.993510072947053,"No"
"Pwp2",2056.65914010001,0.301334969435593,0.218991787353792,1.37601036585345,0.168818424038978,0.922861672918309,"No"
"Kcnip3",26.5358573467256,0.301353558644437,1.00795257534759,0.298975930033728,0.764958411103079,0.99807472321982,"No"
"Nudt1",309.035724486437,0.301417897012465,0.283382049502515,1.06364498930547,0.287489553590529,0.979512662920684,"No"
"Tamm41",590.925832019907,0.301585835280996,0.307089396645729,0.98207830871125,0.326061270794912,0.986431108036912,"No"
"Lig1",2630.11039564922,0.30177401594945,0.200002458711635,1.50885153059318,0.131336728593621,0.889204050740889,"No"
"Spc24",918.021519739382,0.301803025691684,0.326072058471742,0.925571565702978,0.354668675975762,0.986431108036912,"No"
"Mettl26",318.32180163242,0.301868449628315,0.350837132862814,0.860423317124625,0.389555737133132,0.986431108036912,"No"
"Zfp580",82.2747039021307,0.301914189823392,0.420328925396419,0.718280783409449,0.472584176436575,0.987505668708798,"No"
"Utp18",1944.75470421154,0.30192103354847,0.173071713044411,1.74448515148744,0.0810745283637334,0.81597415311658,"No"
"Ddx11",921.277103990229,0.302016769642239,0.245223524052886,1.23159786895936,0.21809933739247,0.956740587802486,"No"
"Eif2b1",1586.24029544151,0.302225868163132,0.182472833698826,1.6562787020777,0.097665391510821,0.835148916480768,"No"
"Smpdl3a",110.564137203388,0.302228818452592,0.761417002746965,0.39692943204872,0.691419499648905,0.99807472321982,"No"
"Zfp672",522.220242653669,0.302291126985507,0.285019641134966,1.06059752858352,0.288872846200063,0.979512662920684,"No"
"Smg8",1016.51614861088,0.30233784546343,0.17567337924695,1.72102254057756,0.08524673372356,0.820392616171537,"No"
"Nutf2",3450.09285040065,0.302434667563964,0.208721444874476,1.4489870350689,0.147341203271462,0.90696520358039,"No"
"Sp140",41.5453387192708,0.302447687730949,0.786480812018667,0.384558253817602,0.700564728439464,0.99807472321982,"No"
"Dnajb14",620.863185924128,0.302516831027844,0.331674007457311,0.912090860984275,0.361720888858402,0.986431108036912,"No"
"Zfp512",677.836740566129,0.302725668525445,0.202482260905113,1.4950725420204,0.134895511007555,0.893553195581875,"No"
