"","logFC","AveExpr","t","P.Value","adj.P.Val","B","symbol","Significant"
"Atxn1l",0.280112215763495,6.77929138653046,5.54596012148286,6.18728898147313e-07,1.39867292132279e-06,4.55601906613004,"Atxn1l","No"
"Dbn1",0.280083010433453,6.92346407799552,5.90482510245823,1.54284469068554e-07,3.6973678324896e-07,5.88581050598662,"Dbn1","No"
"Nav3",-0.280051271607834,4.27439330922477,-2.43845937097059,0.0175832300942009,0.0243302195632673,-4.42982047483758,"Nav3","No"
"Ophn1",-0.280007372433282,3.50511900454588,-1.82336994587697,0.0729952368391821,0.0926239149032887,-5.38749859414988,"Ophn1","No"
"Cenpp",-0.279909116337902,3.29519106891029,-1.68483011925991,0.096972828646701,0.120537253249959,-5.5453331884522,"Cenpp","No"
"Paxip1",0.279894704818842,5.73696925965243,4.07947627792221,0.000129287847124094,0.000229158349943279,-0.327840472763159,"Paxip1","No"
"Ro60",0.279888232269085,7.06853182087375,6.11568861556264,6.75543523614346e-08,1.68015880424623e-07,6.66246737226221,"Ro60","No"
"Tbcd",-0.279810646451503,6.19301615223581,-4.69627505052913,1.48030666712441e-05,2.9114818046243e-05,1.63033825070091,"Tbcd","No"
"Vdac2",0.279737173123823,7.44814832770488,6.76244351727113,5.19035943884767e-09,1.45107058111339e-08,9.1061774322015,"Vdac2","No"
"Srxn1",-0.279525284606075,4.07294598079587,-2.2700585428439,0.0266369139087352,0.0360096135272993,-4.7268874051707,"Srxn1","No"
"Polr1b",-0.279056096406951,5.36665889526268,-3.55220648621955,0.00073004580339872,0.00119401527776178,-1.85393999542404,"Polr1b","No"
"Prdx2",-0.279036342492841,7.56334228740178,-6.7225320423274,6.08773064110343e-09,1.6909089041642e-08,8.92289939933627,"Prdx2","No"
"Armh3",-0.279024840094833,3.98852802776878,-2.19421949730776,0.0319177199433392,0.0427221755095175,-4.85524931827754,"Armh3","No"
"Sestd1",0.278985575552713,6.35179289503494,4.94549367953845,5.94935491451686e-06,1.22722202230453e-05,2.46178233375974,"Sestd1","No"
"Abca4",-0.278977582813429,-0.235236203512732,-0.53532912848357,0.594308286038573,0.632725368790022,-5.70357984645028,"Abca4","No"
"Gnpnat1",0.278912656503044,5.93941413728793,4.18211442496378,9.10298295210825e-05,0.000163908024560886,-0.0566715073999768,"Gnpnat1","No"
"Aftph",0.278849019916873,6.08687435349535,4.56818508722957,2.34738417559011e-05,4.5034221053307e-05,1.2077475553095,"Aftph","No"
"Wapl",0.278807955566228,7.10958918080747,6.23734822069708,4.18322198538533e-08,1.06253518243408e-07,7.12586351193434,"Wapl","No"
"Esf1",0.278798715638251,5.96132369866438,4.39366162151944,4.36069709776234e-05,8.13433013992374e-05,0.647965652404528,"Esf1","No"
"Tubgcp5",0.278696422669539,4.87340254605849,3.00808405958034,0.00377608371714959,0.00568539564598528,-3.23988734705627,"Tubgcp5","No"
"Nudt16l1",0.278514749604366,4.3042821799592,2.45306226213821,0.0169462891422126,0.023495408614344,-4.41597567796728,"Nudt16l1","No"
"Parp12",-0.278502514549292,3.67501017172826,-1.88760549810038,0.0636900102155295,0.0815728671942241,-5.33505873318187,"Parp12","No"
"Serinc1",0.278491279297211,7.91050769688358,7.77479907204268,8.87516288227011e-11,2.9312991316062e-10,13.0457078208174,"Serinc1","No"
"Dhx37",0.278442053481619,4.95493300260523,3.03651632293717,0.00347922877256256,0.00526305216262057,-3.19115840132808,"Dhx37","No"
"Tmem65",0.278381774337464,5.86916605892085,4.23950642505492,7.46784950143176e-05,0.00013578543890946,0.157852287633936,"Tmem65","No"
"Nubpl",0.27832949160131,3.82803940047488,2.05764875072345,0.0437704871594912,0.0574460595763384,-5.07987651253238,"Nubpl","No"
"Plcxd1",0.27830404383167,0.743165615379139,0.705651282122212,0.483007954033363,0.525058320937423,-5.85840259592834,"Plcxd1","No"
"Rtf1",-0.278240082525456,5.92126435756834,-4.20878550380646,8.30409660567535e-05,0.000150154717809201,0.0452322209285416,"Rtf1","No"
"Lag3",-0.278171971771488,0.310597683874717,-0.622652217800715,0.535761968322448,0.576313157821084,-5.79096661542116,"Lag3","No"
"Prdx3",0.278164837526704,6.19877703602397,4.72362961887355,1.34058960615815e-05,2.64648816658883e-05,1.71693484213896,"Prdx3","No"
"Exosc3",-0.278020353596487,4.17166987542946,-2.29477330655487,0.0250912724384955,0.0340171126900816,-4.7092255868141,"Exosc3","No"
"Dpp9",0.277913834830523,6.14410602087051,4.55584234692771,2.45332644279309e-05,4.69919988479589e-05,1.14624161301078,"Dpp9","No"
"Ppm1g",0.277876560605131,7.04602766335603,6.1133034773558,6.81907765251105e-08,1.69491350589074e-07,6.65946732746592,"Ppm1g","No"
"Rfc4",0.277838749751657,5.0853671625328,3.23797610951618,0.00192260512763542,0.00299538268359537,-2.68123044994844,"Rfc4","No"
"Ube2j1",-0.277762780199218,5.93989227326844,-4.23948102462646,7.46850602288661e-05,0.00013578543890946,0.141603270606325,"Ube2j1","No"
"Mmp23",0.277616859319807,0.908182160624214,0.730563015592211,0.467756158284705,0.510314395090916,-5.88809581087042,"Mmp23","No"
"Agpat1",-0.277566743654484,6.46178881157334,-4.86870779844733,7.89385531306813e-06,1.60464066501786e-05,2.15912122618856,"Agpat1","No"
"Uqcrb",0.277478490171372,4.2398979808423,2.3830075295751,0.0202020644688686,0.0277313550940809,-4.55018118518399,"Uqcrb","No"
"Lifr",0.277433152644526,6.32681098296679,4.93266089616463,6.23801448652335e-06,1.28397277553281e-05,2.42325031533135,"Lifr","No"
"Ppwd1",0.277390607606417,4.67898810935694,2.81100497442679,0.00657510542649524,0.00961634524364233,-3.6861690612056,"Ppwd1","No"
"Btbd10",0.277380666146593,4.2929124844734,2.43726309848363,0.0176363488247971,0.0243986341115537,-4.4476372956479,"Btbd10","No"
"Rtn3",0.277257106032685,7.74742744278166,7.25052047151254,7.32800881263776e-10,2.22132881888453e-09,10.9784247644439,"Rtn3","No"
"Tlk2",-0.277235230837906,6.42657130002032,-5.02696719662338,4.39919144512683e-06,9.18302677191596e-06,2.74187081252918,"Tlk2","No"
"Nars2",0.277139432501537,3.97104368186745,2.18336055173665,0.0327446282603029,0.0437539959258366,-4.87995382648893,"Nars2","No"
"Zfp142",-0.276958612576775,5.27556121240441,-3.42380414129849,0.00109106758974963,0.00174892297866642,-2.20406756134964,"Zfp142","No"
"Acot10",0.276904186389913,-0.875774305078721,0.449506183447174,0.654610306564947,0.690393866942882,-5.6012252564726,"Acot10","No"
"Cul4b",0.276759629891267,6.23376893946961,4.6838403385663,1.54842485694223e-05,3.03421782566448e-05,1.5651092370742,"Cul4b","No"
"Sun1",0.276725837164327,7.52221595450626,6.93520652743328,2.59937389400132e-09,7.46841754739687e-09,9.77488291322103,"Sun1","No"
"Fbxw7",-0.276706611694583,4.14614863848084,-2.20143631647287,0.031378350228635,0.0420511076158405,-4.89650608687699,"Fbxw7","No"
"Zc3h12b",-0.276706306256997,2.19675845527188,-1.13192260850274,0.261959932243339,0.301322022582157,-5.92230023490946,"Zc3h12b","No"
"Dennd6a",-0.276634176095989,5.20339460960506,-3.19644453048122,0.00217665037358088,0.00336903650407096,-2.82960651958914,"Dennd6a","No"
"Mcu",0.276522157945465,4.14938595287696,2.32289952146706,0.023429447745793,0.0318748067415862,-4.64953040680825,"Mcu","No"
"Slc6a9",-0.27648898582722,5.89100106843591,-4.21800897980839,8.04394571111737e-05,0.000145808187039973,0.0858066103014723,"Slc6a9","No"
"Tcea1",0.276437284841804,7.66907231699131,7.2403428867739,7.63416373309291e-10,2.31043979464376e-09,10.9575541690323,"Tcea1","No"
"Plekhg3",0.276420089528618,6.25577136852263,4.77523040759026,1.11122800502681e-05,2.21278735954484e-05,1.88153485162227,"Plekhg3","No"
"Arl6ip5",0.276344664339535,6.86430928927632,5.7535560625968,2.77830775515385e-07,6.48255530706841e-07,5.32152808675654,"Arl6ip5","No"
"Nrbp2",-0.276199195898115,5.87286877629949,-4.16158303721243,9.76809202705985e-05,0.000175336921659489,-0.0957328401953639,"Nrbp2","No"
"4933427D14Rik",-0.276085646243369,4.64331159926692,-2.69033631478783,0.00912842935305954,0.0131023757820623,-3.96628331256823,"4933427D14Rik","No"
"Casp8ap2",-0.275986220467534,5.31455936874584,-3.45705955837735,0.000984014624504795,0.00158507603090021,-2.11947819033448,"Casp8ap2","No"
"Rgs19",-0.275956008976509,4.57844090090223,-2.60417649941774,0.0114749370124596,0.0162768020841407,-4.15167802011074,"Rgs19","No"
"Mrps26",-0.275886422071629,5.08425187629425,-3.17377738152519,0.00232827096003423,0.00359073646142609,-2.85268780557878,"Mrps26","No"
"Zcwpw1",-0.275881124666838,4.77159594325997,-2.84923987727728,0.0059149762285546,0.00869302418709408,-3.61280641860526,"Zcwpw1","No"
"Pkp1",-0.275879629327642,-0.801657318571072,-0.45609628067025,0.6498902019068,0.685960761777263,-5.61177543310216,"Pkp1","No"
"Tmed4",0.275724541582747,6.54763704704675,5.25857007074317,1.84757742865973e-06,4.00142646239669e-06,3.54796862716773,"Tmed4","No"
"Atf7",0.275718132718636,7.24971692599029,6.42400050988741,1.99842793421886e-08,5.26645471487416e-08,7.82009275365393,"Atf7","No"
"Abhd17c",0.275670617245243,5.8193647395163,4.13678881142136,0.000106340359980644,0.000190186194877806,-0.166776372555588,"Abhd17c","No"
"Prxl2c",-0.275570604587121,6.11409174298124,-4.50602537663412,2.93026116073699e-05,5.57413107589894e-05,0.991241160261009,"Prxl2c","No"
"Akt2",0.275523420078003,7.18953753141025,6.33470241547418,2.84699500753978e-08,7.37961564735072e-08,7.4855007996677,"Akt2","No"
"Clk1",0.275371884485416,6.33273858636424,4.6088197310942,2.02914933042774e-05,3.92522999301922e-05,1.27055586136564,"Clk1","No"
